Id,Name,Position,State,Img_url,Party
307,"Drew, Va",Representative,New Jersey,/img/member/v000133_200.jpg,Republican
308,Donald Norcross,Representative,New Jersey,/img/member/n000188_200.jpg,Democrat
309,"Coleman, Watso",Representative,New Jersey,/img/member/w000822_200.jpg,Democrat
310,Cory Booker,Senator,New Jersey,/img/member/b001288_200.jpg,Democrat
311,Donald Payne,Representative,New Jersey,/img/member/p000604_200.jpg,Democrat
312,Albio Sires,Representative,New Jersey,/img/member/s001165_200.jpg,Democrat
313,"Bill, Pascrell",Representative,New Jersey,/img/member/p000096_200.jpg,Democrat
314,Robert Menendez,Senator,New Jersey,/img/member/m000639_200.jpg,Democrat
315,"Frank, Pallone",Representative,New Jersey,/img/member/p000034_200.jpg,Democrat
316,Christopher Smith,Representative,New Jersey,/img/member/s000522_200.jpg,Republican
317,Debra Haaland,Representative,New Mexico,/img/member/h001080_200.jpg,Democrat
318,"Small, Torre",Representative,New Mexico,/img/member/t000484_200.jpg,Democrat
319,Martin Heinrich,Senator,New Mexico,/img/member/h001046_200.jpg,Democrat
320,Ben Lujan,Representative,New Mexico,/img/member/l000570_200.jpg,Democrat
321,Tom Udall,Senator,New Mexico,/img/member/u000039_200.jpg,Democrat
322,Anthony Brindisi,Representative,New York,/img/member/b001308_200.jpg,Democrat
323,Antonio Delgado,Representative,New York,/img/member/d000630_200.jpg,Democrat
324,Chris Jacobs,Representative,New York,,Republican
325,Max Rose,Representative,New York,/img/member/r000613_200.jpg,Democrat
326,Adriano Espaillat,Representative,New York,/img/member/e000297_200.jpg,Democrat
327,Alexandria Ocasio-Cortez,Representative,New York,/img/member/o000172_200.jpg,Democrat
328,Joseph Morelle,Representative,New York,/img/member/m001206_200.jpg,Democrat
329,Thomas Suozzi,Representative,New York,/img/member/s001201_200.jpg,Democrat
330,John Katko,Representative,New York,/img/member/115_rp_ny_24_katko_john_200.jpg,Republican
331,Kathleen Rice,Representative,New York,/img/member/r000602_200.jpg,Democrat
